Electricity,https://ourworldindata.org/grapher/electricity-generation,https://ourworldindata.org/grapher/electricity-production-by-source,https://ourworldindata.org/grapher/electricity-prod-source-stacked,https://ourworldindata.org/grapher/elec-fossil-nuclear-renewables,https://ourworldindata.org/grapher/sdg-target-on-electricity-access,https://ourworldindata.org/grapher/people-with-electricity-country,https://ourworldindata.org/grapher/number-of-people-with-and-without-electricity-access,https://ourworldindata.org/grapher/number-without-electricity-by-region,https://ourworldindata.org/grapher/people-without-electricity-country,https://ourworldindata.org/grapher/per-capita-electricity-consumption,https://ourworldindata.org/grapher/per-capita-electricity-source-stacked,https://ourworldindata.org/grapher/per-capita-electricity-fossil-nuclear-renewables,https://ourworldindata.org/grapher/share-electricity-low-carbon,https://ourworldindata.org/grapher/share-electricity-coal,https://ourworldindata.org/grapher/share-electricity-fossil-fuels,https://ourworldindata.org/grapher/share-electricity-gas,https://ourworldindata.org/grapher/share-electricity-hydro,https://ourworldindata.org/grapher/share-electricity-nuclear,https://ourworldindata.org/grapher/share-electricity-renewables,https://ourworldindata.org/grapher/share-electricity-solar,https://ourworldindata.org/grapher/share-electricity-wind,https://ourworldindata.org/grapher/access-to-basic-resources,https://ourworldindata.org/grapher/nuclear-renewables-electricity
Energy,https://ourworldindata.org/grapher/abs-change-energy-consumption,https://ourworldindata.org/grapher/access-to-electricity-vs-gdp-per-capita,https://ourworldindata.org/grapher/annual-change-coal,https://ourworldindata.org/grapher/annual-change-fossil-fuels,https://ourworldindata.org/grapher/annual-change-gas,https://ourworldindata.org/grapher/annual-change-hydro,https://ourworldindata.org/grapher/annual-change-low-carbon-energy,https://ourworldindata.org/grapher/annual-change-nuclear,https://ourworldindata.org/grapher/annual-change-oil,https://ourworldindata.org/grapher/change-energy-consumption,https://ourworldindata.org/grapher/annual-change-renewables,https://ourworldindata.org/grapher/annual-change-solar,https://ourworldindata.org/grapher/annual-change-wind,https://ourworldindata.org/grapher/annual-percentage-change-coal,https://ourworldindata.org/grapher/annual-percentage-change-fossil-fuels,https://ourworldindata.org/grapher/annual-percentage-change-gas,https://ourworldindata.org/grapher/annual-percentage-change-hydro,https://ourworldindata.org/grapher/annual-percentage-change-low-carbon,https://ourworldindata.org/grapher/annual-percentage-change-nuclear,https://ourworldindata.org/grapher/annual-percentage-change-oil,https://ourworldindata.org/grapher/annual-percentage-change-renewables,https://ourworldindata.org/grapher/annual-percentage-change-solar,https://ourworldindata.org/grapher/annual-percentage-change-wind,https://ourworldindata.org/grapher/coal-prod-per-capita,https://ourworldindata.org/grapher/consumption-based-energy-per-capita,https://ourworldindata.org/grapher/death-rates-from-energy-production-per-twh,https://ourworldindata.org/grapher/deaths-low-carbon-energy,https://ourworldindata.org/grapher/primary-energy-fossil-nuclear-renewables,https://ourworldindata.org/grapher/electricity-generation,https://ourworldindata.org/grapher/share-of-the-population-with-access-to-electricity,https://ourworldindata.org/grapher/elec-mix-bar,https://ourworldindata.org/grapher/electricity-coal,https://ourworldindata.org/grapher/electricity-fossil-fuels,https://ourworldindata.org/grapher/electricity-gas,https://ourworldindata.org/grapher/low-carbon-electricity,https://ourworldindata.org/grapher/electricity-oil,https://ourworldindata.org/grapher/electricity-production-by-source,https://ourworldindata.org/grapher/electricity-prod-source-stacked,https://ourworldindata.org/grapher/elec-fossil-nuclear-renewables,https://ourworldindata.org/grapher/employment-by-economic-sector,https://ourworldindata.org/grapher/energy-consumption-by-source-and-region,https://ourworldindata.org/grapher/traded-energy-share-domestic,https://ourworldindata.org/grapher/energy-imports-and-exports-energy-use,https://ourworldindata.org/grapher/energy-intensity,https://ourworldindata.org/grapher/energy-intensity-by-sector,https://ourworldindata.org/grapher/energy-intensity-of-economies,https://ourworldindata.org/grapher/energy-intensity-vs-gdp,https://ourworldindata.org/grapher/energy-use-per-capita-vs-share-of-population-in-extreme-poverty,https://ourworldindata.org/grapher/per-capita-energy-use,https://ourworldindata.org/grapher/final-to-primary-energy-ratio,https://ourworldindata.org/grapher/fossil-fuel-primary-energy,https://ourworldindata.org/grapher/fossil-fuel-consumption-per-capita,https://ourworldindata.org/grapher/fossil-fuel-cons-per-capita,https://ourworldindata.org/grapher/fossil-fuels-per-capita,https://ourworldindata.org/grapher/energy-use-per-capita-vs-gdp-per-capita,https://ourworldindata.org/grapher/gas-consumption-by-country,https://ourworldindata.org/grapher/global-primary-energy,https://ourworldindata.org/grapher/global-energy-consumption-source,https://ourworldindata.org/grapher/global-energy-substitution,https://ourworldindata.org/grapher/sdg-target-on-clean-cooking-fuels,https://ourworldindata.org/grapher/hypothetical-number-of-deaths-from-energy-production,https://ourworldindata.org/grapher/installed-global-renewable-energy-capacity-by-technology,https://ourworldindata.org/grapher/installed-renewable-energy-capacity,https://ourworldindata.org/grapher/investment-in-renewable-energy-by-technology,https://ourworldindata.org/grapher/levelized-cost-of-energy,https://ourworldindata.org/grapher/long-term-energy-transitions,https://ourworldindata.org/grapher/low-carbon-elec-per-capita,https://ourworldindata.org/grapher/low-carbon-energy-consumption,https://ourworldindata.org/grapher/modern-renewable-prod,https://ourworldindata.org/grapher/energy-embedded-traded-goods,https://ourworldindata.org/grapher/people-with-electricity-country,https://ourworldindata.org/grapher/number-of-people-with-and-without-electricity-access,https://ourworldindata.org/grapher/number-without-electricity-by-region,https://ourworldindata.org/grapher/people-without-electricity-country,https://ourworldindata.org/grapher/people-without-clean-cooking-fuels-region,https://ourworldindata.org/grapher/oil-prod-per-capita,https://ourworldindata.org/grapher/per-capita-low-carbon-energy,https://ourworldindata.org/grapher/per-capita-low-carbon-vs-gdp,https://ourworldindata.org/grapher/per-capita-electricity-consumption,https://ourworldindata.org/grapher/per-capita-electricity-fossil-nuclear-renewables,https://ourworldindata.org/grapher/fossil-electricity-per-capita,https://ourworldindata.org/grapher/gas-electricity-per-capita,https://ourworldindata.org/grapher/hydro-electricity-per-capita,https://ourworldindata.org/grapher/nuclear-electricity-per-capita,https://ourworldindata.org/grapher/oil-electricity-per-capita,https://ourworldindata.org/grapher/renewable-electricity-per-capita,https://ourworldindata.org/grapher/solar-electricity-per-capita,https://ourworldindata.org/grapher/wind-electricity-per-capita,https://ourworldindata.org/grapher/per-capita-coal,https://ourworldindata.org/grapher/per-capita-hydro,https://ourworldindata.org/grapher/per-capita-nuclear,https://ourworldindata.org/grapher/per-capita-renewables,https://ourworldindata.org/grapher/per-capita-solar,https://ourworldindata.org/grapher/per-capita-wind,https://ourworldindata.org/grapher/per-capita-energy-source-stacked,https://ourworldindata.org/grapher/per-capita-fossil-energy-vs-gdp,https://ourworldindata.org/grapher/per-capita-gas,https://ourworldindata.org/grapher/coal-electricity-per-capita,https://ourworldindata.org/grapher/per-capita-oil,https://ourworldindata.org/grapher/per-capita-energy-stacked,https://ourworldindata.org/grapher/power-outages-in-firms-per-month,https://ourworldindata.org/grapher/primary-energy-consumption-by-source,https://ourworldindata.org/grapher/primary-energy-cons,https://ourworldindata.org/grapher/primary-energy-cons-by-source,https://ourworldindata.org/grapher/primary-sub-energy-source,https://ourworldindata.org/grapher/primary-energy-source-bar,https://ourworldindata.org/grapher/primary-energy-consumption-by-region,https://ourworldindata.org/grapher/sub-energy-fossil-renewables-nuclear,https://ourworldindata.org/grapher/primary-energy-hydro,https://ourworldindata.org/grapher/primary-energy-nuclear,https://ourworldindata.org/grapher/primary-energy-renewables,https://ourworldindata.org/grapher/primary-energy-consumption-from-solar,https://ourworldindata.org/grapher/primary-energy-wind,https://ourworldindata.org/grapher/primary-energy-mix-uk,https://ourworldindata.org/grapher/production-consumption-energy-per-person,https://ourworldindata.org/grapher/production-vs-consumption-energy,https://ourworldindata.org/grapher/renewable-energy-investment,https://ourworldindata.org/grapher/renewable-energy-investment-of-gdp,https://ourworldindata.org/grapher/share-of-primary-energy-consumption-by-source,https://ourworldindata.org/grapher/share-electricity-low-carbon,https://ourworldindata.org/grapher/share-elec-by-source,https://ourworldindata.org/grapher/share-electricity-source-facet,https://ourworldindata.org/grapher/share-electricity-coal,https://ourworldindata.org/grapher/share-electricity-fossil-fuels,https://ourworldindata.org/grapher/share-electricity-gas,https://ourworldindata.org/grapher/share-electricity-hydro,https://ourworldindata.org/grapher/share-electricity-nuclear,https://ourworldindata.org/grapher/share-of-electricity-production-from-renewable-sources,https://ourworldindata.org/grapher/share-electricity-renewables,https://ourworldindata.org/grapher/share-electricity-solar,https://ourworldindata.org/grapher/share-electricity-wind,https://ourworldindata.org/grapher/share-energy-source-sub,https://ourworldindata.org/grapher/renewables-share-final-energy,https://ourworldindata.org/grapher/global-primary-energy-share-inc-biomass,https://ourworldindata.org/grapher/coal-energy-share,https://ourworldindata.org/grapher/fossil-fuels-share-energy,https://ourworldindata.org/grapher/gas-share-energy,https://ourworldindata.org/grapher/hydro-share-energy,https://ourworldindata.org/grapher/low-carbon-share-energy,https://ourworldindata.org/grapher/nuclear-primary-energy,https://ourworldindata.org/grapher/oil-share-energy,https://ourworldindata.org/grapher/renewable-share-energy,https://ourworldindata.org/grapher/solar-share-energy,https://ourworldindata.org/grapher/wind-share-energy,https://ourworldindata.org/grapher/share-of-low-carbon-energy-vs-gdp,https://ourworldindata.org/grapher/share-of-rural-population-with-electricity-access-vs-share-of-total-population-with-electricity-access,https://ourworldindata.org/grapher/solar-pv-cumulative-capacity,https://ourworldindata.org/grapher/solar-pv-prices-vs-cumulative-capacity,https://ourworldindata.org/grapher/the-long-term-energy-transition-in-europe,https://ourworldindata.org/grapher/nuclear-renewables-electricity,https://ourworldindata.org/grapher/coal-phase-out-timeline,https://ourworldindata.org/grapher/low-carbon-energy-vs-global,https://ourworldindata.org/grapher/annual-change-primary-energy-source,https://ourworldindata.org/grapher/annual-primary-energy-fossil-vs-low-carbon,https://ourworldindata.org/grapher/percentage-change-energy-by-source
Energy Efficiency,https://ourworldindata.org/grapher/efficiency-of-lighting-in-the-united-kingdom-lumen-hours-per-kilowatt-hour,https://ourworldindata.org/grapher/energy-intensity-by-sector
Energy Prices,https://ourworldindata.org/grapher/onshore-wind-project-costs,https://ourworldindata.org/grapher/levelized-cost-of-energy,https://ourworldindata.org/grapher/onshore-wind-lcoe,https://ourworldindata.org/grapher/onshore-wind-lcoe-vs-wind-consumption,https://ourworldindata.org/grapher/onshore-wind-cost-breakdown,https://ourworldindata.org/grapher/solar-pv-prices,https://ourworldindata.org/grapher/solar-pv-system-costs
Energy Trade,https://ourworldindata.org/grapher/energy-imports-energy-use,https://ourworldindata.org/grapher/fuel-exports
Environmental Protection & Regulation,https://ourworldindata.org/grapher/proportion-of-forest-area-certified-under-an-independently-verified-certification-scheme,https://ourworldindata.org/grapher/green-climate-fund-pledges-per-capita,https://ourworldindata.org/grapher/proportion-of-forest-area-with-long-term-management-plan,https://ourworldindata.org/grapher/proportion-of-forest-area-within-legally-established-protected-areas,https://ourworldindata.org/grapher/proportion-of-important-sites-for-freshwater-biodiversity-covered-by-protected-areas,https://ourworldindata.org/grapher/subscriptions-to-montreal-protocol-by-region,https://ourworldindata.org/grapher/legal-controls-lead-paint
Environmental impacts of food production,https://ourworldindata.org/grapher/freshwater-use-seafood,https://ourworldindata.org/grapher/ghg-emissions-seafood,https://ourworldindata.org/grapher/land-use-seafood,https://ourworldindata.org/grapher/nitrogen-emissions-seafood,https://ourworldindata.org/grapher/phosphorous-emissions-seafood
Eradication of Diseases,https://ourworldindata.org/grapher/cholera-deaths-in-great-britain,https://ourworldindata.org/grapher/deaths-from-smallpox-in-london,https://ourworldindata.org/grapher/deaths-from-infections-of-currently-noneradicable-diseases,https://ourworldindata.org/grapher/malaria-deaths-by-age,https://ourworldindata.org/grapher/decade-in-which-smallpox-ceased-to-be-endemic-by-country,https://ourworldindata.org/grapher/extensively-drug-resistant-tuberculosis,https://ourworldindata.org/grapher/global-incidence-and-prevalence-of-tuberculosis,https://ourworldindata.org/grapher/global-number-of-reported-guinea-worm-cases,https://ourworldindata.org/grapher/the-incidence-of-malaria-per-1000-population,https://ourworldindata.org/grapher/incidence-and-prevalence-of-rabies,https://ourworldindata.org/grapher/malaria-deaths-by-world-region,https://ourworldindata.org/grapher/multidrug-resistant-tuberculosis-without-extensive-drug-resistance,https://ourworldindata.org/grapher/new-cases-of-hiv-infection,https://ourworldindata.org/grapher/number-of-estimated-paralytic-polio-cases-by-world-region,https://ourworldindata.org/grapher/deaths-and-new-cases-of-hiv,https://ourworldindata.org/grapher/progress-towards-guinea-worm-eradication-who-certification,https://ourworldindata.org/grapher/number-of-reported-guinea-worm-dracunculiasis-cases,https://ourworldindata.org/grapher/reported-number-of-smallpox-infections-by-world-region,https://ourworldindata.org/grapher/the-number-of-cases-of-infectious-diseases,https://ourworldindata.org/grapher/the-number-of-deaths-due-to-tuberculosis-by-who-and-ihme-data,https://ourworldindata.org/grapher/number-of-deaths-from-hivaids,https://ourworldindata.org/grapher/number-of-deaths-from-rabies-by-world-region,https://ourworldindata.org/grapher/number-of-deaths-from-tuberculosis-by-world-region,https://ourworldindata.org/grapher/the-number-of-infections-from-eradicable-diseases,https://ourworldindata.org/grapher/yaws-status-and-case-numbers,https://ourworldindata.org/grapher/year-of-the-last-reported-rinderpest-case
Famines,https://ourworldindata.org/grapher/birth-death-china-great-leap-forward-famine,https://ourworldindata.org/grapher/change-in-global-hunger-index-1992-2017-vs-global-hunger-index-in-1992,https://ourworldindata.org/grapher/change-in-global-hunger-index-1992-2017-global-hunger-index-2017-vs-population-growth-1992-2015-un-population-division,https://ourworldindata.org/grapher/food-supply-kcal,https://ourworldindata.org/grapher/malnutrition-deaths-by-age,https://ourworldindata.org/grapher/global-hunger-index-in-2017-vs-population-growth-1992-2015-un-population-division
Female Labor Supply,https://ourworldindata.org/grapher/are-non-pregnant-and-non-nursing-women-allowed-to-do-the-same-jobs-as-men,https://ourworldindata.org/grapher/average-daily-time-spent-by-women-on-domestic-work-paid-and-unpaid,https://ourworldindata.org/grapher/average-usual-weekly-hours-worked-women-15-years-and-older,https://ourworldindata.org/grapher/distribution-of-female-employment-across-sectors,https://ourworldindata.org/grapher/female-employment-vs-public-spending-on-family-benefits-oecd,https://ourworldindata.org/grapher/female-employment-to-population-ratio,https://ourworldindata.org/grapher/modeled-female-employment-to-population-ratio,https://ourworldindata.org/grapher/female-employment-to-population-ratio-latest-vs-1980,https://ourworldindata.org/grapher/female-labor-force-by-age,https://ourworldindata.org/grapher/labor-force-participation-rate-female-of-female-population-ages-15-modeled-ilo-estimate-vs-gdp-per-capita,https://ourworldindata.org/grapher/recent-ILO-LFP,https://ourworldindata.org/grapher/female-labor-force-participation-rates-latest-vs-1980,https://ourworldindata.org/grapher/female-labor-force-participation-rates-by-family-benefits-public-spending,https://ourworldindata.org/grapher/female-labor-force-participation-rates-by-national-per-capita-income,https://ourworldindata.org/grapher/oecd-female-labour-force-participation-rate-15-64,https://ourworldindata.org/grapher/female-to-male-ratio-of-time-devoted-to-unpaid-care-work,https://ourworldindata.org/grapher/fertility-and-female-labor-force-participation,https://ourworldindata.org/grapher/gender-wage-gap-vs-gdp-per-capita,https://ourworldindata.org/grapher/labor-force-participation-rates-for-women-ages-15-24-2020-vs-1980,https://ourworldindata.org/grapher/labour-force-participation-younger-vs-older-women,https://ourworldindata.org/grapher/female-labor-force-participation-OECD,https://ourworldindata.org/grapher/male-vs-female-informal-employment-as-share-of-total-employment,https://ourworldindata.org/grapher/maternal-mortality-vs-female-labor-force-participation,https://ourworldindata.org/grapher/share-of-female-workers-by-sector,https://ourworldindata.org/grapher/proportion-of-labor-force-who-are-women,https://ourworldindata.org/grapher/female-labor-force-participation-rates-slopes,https://ourworldindata.org/grapher/ratio-of-female-to-male-labor-force-participation-rates-ILO-WDI,https://ourworldindata.org/grapher/share-of-employed-women-working-in-agriculture-vs-gdp-per-capita,https://ourworldindata.org/grapher/share-of-male-vs-female-employment-in-agri,https://ourworldindata.org/grapher/share-of-male-vs-female-employment-in-industry,https://ourworldindata.org/grapher/share-of-male-vs-female-employment-in-services,https://ourworldindata.org/grapher/share-who-agree-with-the-statement-when-jobs-are-scarce-men-should-have-more-right-to-a-job-than-women,https://ourworldindata.org/grapher/unemployment-rate-women,https://ourworldindata.org/grapher/unemployment-rate-men-vs-women,https://ourworldindata.org/grapher/work-hours-per-week,https://ourworldindata.org/grapher/what-percentage-of-the-us-public-approves-of-working-wives,https://ourworldindata.org/grapher/women-in-informal-employment-as-share-of-female-employment
Fertility Rate,https://ourworldindata.org/grapher/annual-number-of-births-by-world-region,https://ourworldindata.org/grapher/fertility-vs-child-mortality,https://ourworldindata.org/grapher/fertility-vs-child-mortality-by-religion,https://ourworldindata.org/grapher/birth-rate-the-number-of-births-per-1000-people-in-the-population,https://ourworldindata.org/grapher/crude-birth-rate,https://ourworldindata.org/grapher/children-born-per-woman,https://ourworldindata.org/grapher/children-per-woman-UN,https://ourworldindata.org/grapher/total-fertility-rate-by-development-level-including-UN-projections-through-2100,https://ourworldindata.org/grapher/children-per-woman,https://ourworldindata.org/grapher/children-per-woman-by-gdp-per-capita,https://ourworldindata.org/grapher/children-per-woman-fertility-rate-vs-level-of-prosperity,https://ourworldindata.org/grapher/children-per-woman-vs-human-development-index,https://ourworldindata.org/grapher/fertility-vs-unmet-contraception,https://ourworldindata.org/grapher/completeness-of-birth-registration,https://ourworldindata.org/grapher/demand-for-family-planning,https://ourworldindata.org/grapher/female-labor-force-participation-rates-by-national-per-capita-income,https://ourworldindata.org/grapher/fertility-and-female-labor-force-participation,https://ourworldindata.org/grapher/fertility-and-wanted-fertility,https://ourworldindata.org/grapher/fertility-rate-complete-gapminder,https://ourworldindata.org/grapher/fertility-rate-vs-the-share-living-in-extreme-poverty,https://ourworldindata.org/grapher/fertility-vs-contraception,https://ourworldindata.org/grapher/fertility-rate-vs-mean-years-of-schooling,https://ourworldindata.org/grapher/fertility-rate-vs-share-of-women-between-25-and-29-years-old-with-no-education,https://ourworldindata.org/grapher/fertility-vs-wanted-fertility,https://ourworldindata.org/grapher/fertility-vs-child-mortality-family-planning-policy,https://ourworldindata.org/grapher/maternal-mortality-vs-fertility,https://ourworldindata.org/grapher/share-of-married-women-ages-15-49-years-whose-need-for-family-planning-is-satisfied,https://ourworldindata.org/grapher/share-of-women-using-modern-contraceptive-methods,https://ourworldindata.org/grapher/total-fertility-rate-by-world-region-including-UN-projections-through-2100,https://ourworldindata.org/grapher/total-fertility-rate-slope-chart,https://ourworldindata.org/grapher/total-fertility-rate-including-un-projections-through-2100,https://ourworldindata.org/grapher/unmet-need-for-contraception-share-of-married-women-of-reproductive-age,https://ourworldindata.org/grapher/womens-educational-attainment-vs-fertility-regression-line,https://ourworldindata.org/grapher/womens-educational-attainment-vs-fertility
Fertilizers,https://ourworldindata.org/grapher/cereal-crop-yield-vs-fertilizer-application,https://ourworldindata.org/grapher/eutrophying-emissions-protein,https://ourworldindata.org/grapher/eutrophying-emissions-kcal,https://ourworldindata.org/grapher/eutrophying-emissions-per-kg-poore,https://ourworldindata.org/grapher/excess-phosphorous,https://ourworldindata.org/grapher/excess-phosphorous-per-hectare,https://ourworldindata.org/grapher/fertilizer-price-index,https://ourworldindata.org/grapher/fertilizer-application-rates-over-the-long-run,https://ourworldindata.org/grapher/fertilizer-production-by-nutrient-type-npk,https://ourworldindata.org/grapher/fertilizer-use-in-kg-per-hectare-of-arable-land,https://ourworldindata.org/grapher/fertilizer-per-hectare,https://ourworldindata.org/grapher/fertilizer-consumption-per-hectare-vs-gdp-per-capita,https://ourworldindata.org/grapher/nitrogen-fertilizer-consumption,https://ourworldindata.org/grapher/nitrogen-fertilizer-production,https://ourworldindata.org/grapher/nitrogen-fertilizer-application-per-hectare-of-cropland,https://ourworldindata.org/grapher/nitrogen-inputs-per-hectare,https://ourworldindata.org/grapher/pesticide-breakdown-by-type,https://ourworldindata.org/grapher/pesticide-use-tonnes,https://ourworldindata.org/grapher/pesticide-use-per-hectare-of-cropland,https://ourworldindata.org/grapher/phosphate-and-potash-price-indexes-over-the-long-term-1900-100,https://ourworldindata.org/grapher/phosphate-fertilizer-consumption,https://ourworldindata.org/grapher/phosphate-fertilizer-production,https://ourworldindata.org/grapher/phosphate-application-per-hectare-of-cropland,https://ourworldindata.org/grapher/potash-fertilizer-consumption,https://ourworldindata.org/grapher/potash-fertilizer-production,https://ourworldindata.org/grapher/potash-fertilizer-application-per-hectare-of-cropland,https://ourworldindata.org/grapher/total-fertilizer-production-by-nutrient-tonnes,https://ourworldindata.org/grapher/total-nitrogen-inputs-crops,https://ourworldindata.org/grapher/urea-nutrient-prices-per-metric-ton,https://ourworldindata.org/grapher/yield-gap-vs-nitrogen-pollution,https://ourworldindata.org/grapher/world-population-supported-by-synthetic-nitrogen-fertilizers,https://ourworldindata.org/grapher/world-population-with-and-without-fertilizer
Financial Inclusion,https://ourworldindata.org/grapher/automated-teller-machines-atms-per-100000-adults,https://ourworldindata.org/grapher/account-at-financial-institution,https://ourworldindata.org/grapher/share-of-firms-for-which-access-to-finance-is-a-major-constraint
"Financial Markets, Banks & Financial Institutions",https://ourworldindata.org/grapher/number-of-commercial-bank-branches-per-100000-adults,https://ourworldindata.org/grapher/regulation-financial-markets
Financing Education,https://ourworldindata.org/grapher/annual-salary-of-primary-teachers-with-10-years-of-experience,https://ourworldindata.org/grapher/average-oecd-education-expenditure-by-source-of-funding-gdp,https://ourworldindata.org/grapher/average-learning-outcomes-by-total-education-expenditure-per-capita,https://ourworldindata.org/grapher/average-reading-performance-in-pisa-and-average-spending-per-student,https://ourworldindata.org/grapher/dah-by-health-cause,https://ourworldindata.org/grapher/us-education-expenditure-as-share-of-gdp-public-and-private-institutions,https://ourworldindata.org/grapher/government-expenditure-education,https://ourworldindata.org/grapher/revenues-for-public-schools-by-source-gdp-us,https://ourworldindata.org/grapher/gdp-per-capita-vs-staff-compensation-as-share-of-total-expenditure-in-primary-public-education,https://ourworldindata.org/grapher/government-expenditure-on-education-for-selected-countries,https://ourworldindata.org/grapher/government-expenditure-on-education,https://ourworldindata.org/grapher/government-expenditure-on-pre-primary-education-as-share-of-gdp,https://ourworldindata.org/grapher/government-expenditure-on-primary-education-as-share-of-gdp,https://ourworldindata.org/grapher/government-expenditure-on-primary-education-by-country,https://ourworldindata.org/grapher/government-expenditure-on-secondary-education-as-share-of-gdp,https://ourworldindata.org/grapher/government-expenditure-on-secondary-education-by-country-1974-2014,https://ourworldindata.org/grapher/government-expenditure-on-tertiary-education-as-share-of-gdp,https://ourworldindata.org/grapher/government-expenditure-per-primary-student-vs-gdp-per-capita,https://ourworldindata.org/grapher/government-expenditure-per-student-tertiary-of-gdp-per-capita,https://ourworldindata.org/grapher/oda-for-scholarships,https://ourworldindata.org/grapher/national-average-learning-outcomes-vs-government-expenditure-per-primary-student,https://ourworldindata.org/grapher/out-of-pocket-expenditure-per-capita-on-healthcare,https://ourworldindata.org/grapher/primary-edu-spending-vs-overall-edu-spending,https://ourworldindata.org/grapher/primary-education-spending-vs-overall-education-spending,https://ourworldindata.org/grapher/public-education-expenditure-as-share-of-gdp,https://ourworldindata.org/grapher/precentage-enrolled-in-private-institutions-at-the-primary-education-level,https://ourworldindata.org/grapher/precentage-enrolled-in-private-institutions-at-the-tertiary-education-level,https://ourworldindata.org/grapher/share-edu-spending-gdp-vs-share-edu-total-spending,https://ourworldindata.org/grapher/share-of-education-in-government-expenditure,https://ourworldindata.org/grapher/share-of-students-achieving-no-or-minimum-learning-outcomes-by-expenditure-per-student,https://ourworldindata.org/grapher/share-of-students-achieving-no-or-minimum-learning-outcomes-by-total-education-expenditure-per-capita,https://ourworldindata.org/grapher/total-government-expenditure-on-education-gdp,https://ourworldindata.org/grapher/total-government-expenditure-on-education-gdpslope
Financing Healthcare,https://ourworldindata.org/grapher/child-mortality-vs-health-expenditure,https://ourworldindata.org/grapher/govt-effectiveness-healthcare-spending-child-mortality,https://ourworldindata.org/grapher/expenditure-of-the-national-health-service-nhs-in-the-uk,https://ourworldindata.org/grapher/gross-oda-for-medical-research-and-basic-heath-sectors,https://ourworldindata.org/grapher/health-expenditure-and-financing-per-capita,https://ourworldindata.org/grapher/annual-healthcare-expenditure-per-capita,https://ourworldindata.org/grapher/health-insurance-coverage-in-the-us,https://ourworldindata.org/grapher/health-coverage-vs-gdp-per-capita-simple,https://ourworldindata.org/grapher/health-expenditure-government-expenditure,https://ourworldindata.org/grapher/healthcare-expenditure-vs-gdp,https://ourworldindata.org/grapher/HAQ-by-level-of-healthcare-spending-endpoints,https://ourworldindata.org/grapher/total-healthcare-expenditure-as-share-of-national-gdp-by-country,https://ourworldindata.org/grapher/healthy-life-expectancy-vs-health-expenditure-per-capita,https://ourworldindata.org/grapher/how-much-we-think-we-spend-on-healthcare-vs-how-much-we-actually-do,https://ourworldindata.org/grapher/inequality-in-life-expectancy-vs-health-expenditure-per-capita,https://ourworldindata.org/grapher/life-expectancy-vs-health-expenditure,https://ourworldindata.org/grapher/life-expectancy-vs-health-expenditure-per-capita,https://ourworldindata.org/grapher/life-expectancy-vs-healthcare-expenditure,https://ourworldindata.org/grapher/net-oda-to-medical-research,https://ourworldindata.org/grapher/percentage-of-persons-without-health-insurance-coverage-us,https://ourworldindata.org/grapher/health-protection-coverage,https://ourworldindata.org/grapher/private-health-expenditure-per-person,https://ourworldindata.org/grapher/share-of-public-expenditure-on-healthcare-by-country,https://ourworldindata.org/grapher/public-expenditure-on-healthcare-by-country-income-groups,https://ourworldindata.org/grapher/public-health-expenditure-share-GDP-OWID,https://ourworldindata.org/grapher/public-health-insurance-coverage,https://ourworldindata.org/grapher/public-expenditure-on-healthcare-as-share-of-national-gdp,https://ourworldindata.org/grapher/risk-of-catastrophic-expenditure-for-surgical-care,https://ourworldindata.org/grapher/risk-of-impoverishing-expenditure-for-surgical-care,https://ourworldindata.org/grapher/risk-of-impoverishing-expenditure-for-surgical-care-of-people-at-risk,https://ourworldindata.org/grapher/share-of-out-of-pocket-expenditure-on-healthcare,https://ourworldindata.org/grapher/share-of-out-of-pocket-expenditure-vs-gdp-per-capita,https://ourworldindata.org/grapher/large-household-expenditures-health,https://ourworldindata.org/grapher/share-of-the-population-at-risk-of-catastrophic-expenditure-when-surgical-care-is-required,https://ourworldindata.org/grapher/tax-revenue-per-capita-and-public-health-spending-per-capita-in-developing-countries-in,https://ourworldindata.org/grapher/us-healthcare-expenditure,https://ourworldindata.org/grapher/various-measures-of-health-expenditure-as-share-of-gdp,https://ourworldindata.org/grapher/world-health-expenditure-as-share-of-global-gdp
